id,academic_score,student_tuition,education
1781,39.15000153,118156,12
1457,48.86999893,56800,12
587,48.74000168,86398,12
3448,40.40000153,58580,12
3940,40.47999954,109322,13
691,54.70999908,89450,12
2082,56.06999969,102590,13
2963,54.84999847,63953,15
3509,64.73999786,57545,13
1268,56.06000137,85310,15
686,42.22000122,72356,12
1750,61.18000031,117722,14
1672,59.84999847,90420,15
3401,58.77000046,93344,17
2445,53.72000122,70327,14
3826,61.52000046,108327,15
1478,52.52999878,88353,12
1040,45.00999832,52454,12
4501,57.70999908,67556,16
478,59.36000061,98979,16
1593,50.93000031,119769,13
1543,59.56000137,102584,14
1502,58.45999908,99795,13
1401,55.70000076,113973,16
507,60.81000137,92345,15
2613,40.59999847,89048,12
1063,49.99000168,72889,12
590,59.68999863,75916,15
3153,60.33000183,65985,16
1771,60.13999939,96047,12
3934,68.58000183,99517,16
2468,42.61000061,50968,12
1023,58.65999985,87619,16
705,58.13999939,76878,14
4320,58.95000076,79471,16
373,49.36999893,88068,17
40,47.25,77126,16
2793,61.02999878,92120,14
2890,54.34999847,113470,15
1685,68.12000275,64224,15
4178,70.09999847,57435,17
2047,58.61000061,92945,15
3022,48.56999969,77835,12
2275,51.11000061,61221,12
604,39.40999985,70384,15
1493,54.97999954,94895,16
3669,41.59000015,94537,12
14,55.31999969,59534,13
2722,42.22999954,113125,12
3309,62,67686,16
698,49.65000153,57828,15
1451,44.95999908,92902,12
767,37.31000137,77719,12
4042,39.86999893,79171,12
709,56.43999863,105218,16
833,42.65000153,61852,12
3959,60.04999924,79157,15
2722,38.31999969,66196,12
3941,65.87000275,106675,15
1567,44.65000153,66471,13
1352,57.74000168,54268,16
1355,60.38000107,102022,12
1256,62.77000046,81788,12
3813,59.72999954,107940,16
4294,57.06000137,55962,16
2966,58.02000046,98966,15
3229,54.74000168,100175,12
362,46.27999878,94742,14
1785,60.40000153,83845,12
2142,53.20999908,86214,18
751,60.93000031,65638,14
3614,48.43999863,63041,15
1965,45.31000137,103580,12
2018,60.22000122,66162,12
1162,56.41999817,109484,16
2352,62.27000046,91498,17
2850,51.84000015,113388,18
4714,57.54999924,98237,16
937,57.61999893,73003,12
1636,57.5,118730,12
3026,65.30999756,76734,16
3003,50.61999893,106989,14
2035,51.22999954,73452,15
