id,fcollege,mcollege,home,urban,income
118,yes,no,yes,yes,high
4144,no,no,yes,yes,low
1174,no,no,yes,yes,low
1625,no,no,yes,yes,low
4361,no,no,no,yes,low
3980,no,no,yes,yes,low
1750,no,no,yes,no,low
162,no,no,yes,no,low
943,yes,no,yes,yes,low
3332,no,no,yes,yes,low
1399,no,no,yes,yes,high
4349,no,yes,yes,yes,high
2923,no,no,yes,no,low
1040,yes,no,yes,no,high
2359,yes,yes,yes,no,low
3364,no,no,yes,no,low
3208,no,no,yes,no,high
3347,no,no,yes,no,low
3256,no,no,yes,no,low
4354,yes,yes,yes,no,high
1168,no,no,yes,no,low
868,yes,no,yes,no,high
1996,yes,yes,yes,no,low
3720,no,no,no,no,low
850,no,no,yes,no,low
3281,no,no,yes,no,low
2144,no,no,yes,no,low
1859,no,no,yes,yes,low
2207,no,no,yes,yes,low
23,yes,no,yes,yes,high
1071,yes,yes,yes,yes,high
1892,no,no,yes,yes,low
400,yes,no,yes,yes,high
3902,no,no,yes,yes,low
4477,no,no,yes,yes,low
1009,no,no,yes,yes,low
1432,no,yes,no,yes,low
3204,yes,no,no,no,high
13,no,no,no,no,high
2167,yes,yes,yes,no,high
3023,yes,no,yes,no,high
4390,no,no,no,no,low
1882,no,no,yes,no,low
1279,no,no,yes,no,low
431,no,no,yes,no,low
3349,yes,no,yes,no,high
4422,yes,yes,no,no,low
1442,no,no,yes,no,low
2448,no,no,yes,no,low
636,no,no,yes,no,low
3075,no,no,no,no,low
1467,no,no,yes,no,low
1066,no,no,yes,no,low
4081,no,no,yes,no,low
4346,no,no,yes,no,low
3869,no,no,yes,no,low
4651,yes,yes,yes,no,high
4147,no,no,no,no,low
432,yes,no,yes,no,high
3614,no,no,yes,no,low
2767,no,no,yes,no,high
2226,yes,no,yes,no,high
1964,no,no,no,no,high
4088,no,no,yes,no,low
533,yes,no,yes,no,high
2287,no,no,yes,no,low
643,no,no,yes,no,low
677,no,no,yes,no,low
3590,no,no,yes,no,low
1022,no,no,yes,no,high
2026,no,no,yes,no,low
1644,no,no,yes,no,low
4074,no,no,yes,no,low
4467,yes,no,yes,no,high
3583,no,no,yes,no,low
4010,no,yes,yes,no,high
2004,yes,yes,no,no,high
2541,no,no,yes,no,high
3796,yes,no,yes,no,high
1351,no,yes,yes,no,high
4265,yes,no,yes,no,low
2606,yes,no,yes,no,high
4274,no,no,yes,no,low
2051,no,no,no,no,low
2323,no,no,yes,no,low
175,no,no,yes,no,low
1247,no,no,yes,no,low
2960,no,no,yes,no,low
2554,no,no,no,no,low
2324,no,no,yes,no,low
3970,no,no,yes,no,high
3432,no,no,yes,no,low
4181,yes,yes,yes,no,low
2662,no,no,yes,no,low
4203,no,no,yes,no,high
3629,no,no,yes,no,low
686,yes,no,yes,no,high
2947,no,no,yes,no,low
3342,yes,yes,yes,no,low
1414,no,no,yes,no,low
277,no,no,yes,no,high
3856,no,no,yes,no,low
4234,no,no,no,no,low
4682,no,no,yes,no,low
4046,yes,yes,yes,no,high
4603,no,no,yes,no,high
4095,no,yes,yes,no,low
1014,no,no,yes,no,low
3065,no,no,yes,no,low
3176,yes,no,yes,no,low
4628,no,yes,yes,no,low
1145,yes,yes,yes,no,high
2528,no,no,yes,no,low
3400,no,no,no,no,low
3819,no,no,yes,no,low
214,no,no,yes,no,low
3788,no,no,yes,no,high
2790,no,no,yes,no,low
2717,no,no,no,no,low
52,no,no,yes,no,high
1157,no,no,yes,no,low
3221,no,no,yes,no,high
3308,no,yes,no,no,high
2661,no,no,yes,no,low
626,no,no,yes,no,low
3535,no,no,yes,no,low
3569,yes,no,yes,no,high
965,no,no,yes,no,low
3253,no,no,yes,no,high
2758,no,yes,yes,no,low
4050,no,no,yes,no,low
2987,yes,no,yes,no,high
1724,no,no,yes,no,low
3823,no,no,no,no,low
3119,no,no,yes,no,low
1314,no,no,yes,no,high
1761,no,no,yes,no,low
2900,no,no,yes,no,high
3248,no,no,yes,no,low
854,yes,yes,yes,no,low
73,no,no,yes,no,low
2202,no,no,yes,no,low
3145,no,no,yes,no,low
272,no,no,yes,no,high
2393,no,no,yes,no,high
207,no,no,yes,no,low
4387,yes,yes,yes,no,high
1426,no,no,yes,no,high
3728,yes,no,yes,no,low
722,yes,no,yes,no,high
3257,yes,yes,yes,no,high
4521,no,yes,yes,no,low
3885,no,yes,yes,no,low
4472,yes,no,yes,no,low
927,no,no,yes,no,high
3870,no,no,yes,no,low
2225,no,no,yes,no,low
2667,yes,yes,yes,no,high
1543,no,no,yes,no,low
2540,no,no,yes,no,high
4024,no,no,yes,no,high
1101,yes,yes,yes,no,high
910,no,no,yes,yes,low
4318,no,no,yes,yes,low
2433,no,no,yes,yes,low
4155,no,no,no,yes,low
3493,no,yes,no,yes,low
3161,no,no,yes,yes,low
1781,yes,yes,yes,no,high
2919,yes,no,no,no,low
282,no,yes,yes,no,high
3037,no,yes,no,yes,low
2873,no,no,no,yes,low
4003,no,no,yes,yes,low
2150,yes,yes,yes,yes,low
3143,no,no,yes,yes,low
224,no,no,yes,no,high
770,no,no,yes,no,low
3543,yes,no,yes,no,high
1955,no,no,yes,no,low
4186,no,no,yes,no,high
524,no,no,yes,no,low
2578,no,no,yes,no,low
839,no,no,no,no,low
1867,no,no,yes,no,low
2553,no,no,yes,no,low
1891,no,no,yes,no,low
3619,yes,yes,yes,yes,low
2971,no,yes,yes,yes,low
2033,no,yes,yes,yes,high
3808,no,no,yes,yes,low
3633,no,yes,yes,yes,high
3504,no,no,no,yes,low
849,no,no,no,yes,low
346,no,no,yes,no,high
102,yes,yes,no,yes,high
2709,no,no,yes,yes,low
3160,no,no,no,yes,low
4255,no,no,yes,yes,low
1687,no,no,no,yes,low
3513,no,no,no,yes,high
4291,yes,yes,yes,yes,high
1677,no,yes,no,yes,high
3217,no,no,yes,yes,low
843,no,no,no,yes,low
3470,no,no,yes,yes,low
3019,no,no,no,yes,low
204,yes,no,no,yes,low
2608,no,no,yes,yes,low
3636,yes,yes,no,yes,high
3058,no,no,no,yes,low
2665,no,no,yes,yes,low
2303,no,no,yes,yes,low
3941,no,no,yes,no,low
3804,yes,no,yes,no,high
4573,yes,no,yes,no,low
3913,no,yes,yes,no,low
576,no,no,yes,yes,low
951,no,yes,yes,yes,low
623,no,no,yes,yes,low
1968,no,no,no,yes,low
3274,no,no,yes,no,low
982,no,no,yes,no,low
822,no,no,yes,no,high
456,no,no,yes,no,high
1060,no,no,yes,no,high
913,no,no,yes,no,low
2301,no,no,yes,no,high
2947,yes,no,yes,yes,low
3049,no,no,no,yes,low
4309,no,no,yes,yes,high
3470,no,yes,yes,no,high
971,yes,no,yes,no,high
4008,yes,no,yes,no,high
1744,no,no,yes,no,low
4324,no,no,yes,no,low
1308,no,no,yes,no,low
3424,no,yes,yes,no,high
