ID,gender,DOB,ethnicity,academic_info_id,county_id,family_details_id
1,male,22/8/1986,other,1781,3803,118
2,female,19/12/1984,other,1457,2694,4144
3,male,5/7/1989,Asian,587,3586,1174
4,male,25/4/1992,afam,3448,1732,1625
5,female,7/1/1997,Asian,3940,1233,4361
6,male,25/5/1992,other,691,3876,3980
7,female,22/4/1987,Asian,2082,3595,1750
8,female,4/11/1980,other,2963,1339,162
9,male,17/10/1996,other,3509,1463,943
10,female,6/9/1993,other,1268,3448,3332
11,female,9/1/1991,other,686,3364,1399
12,female,27/5/1996,afam,1750,198,4349
13,male,14/12/1988,Asian,1672,4072,2923
14,female,23/11/1983,Asian,3401,1026,1040
15,female,18/3/1994,afam,2445,4086,2359
16,male,16/7/1997,other,3826,4383,3364
17,female,3/3/1988,Asian,1478,3877,3208
18,female,27/5/1984,other,1040,4465,3347
19,female,22/3/1998,other,4501,492,3256
20,female,27/5/1989,other,478,4609,4354
21,female,14/4/1991,Asian,1593,4522,1168
22,male,23/6/1984,Asian,1543,2803,868
23,male,17/1/1996,other,1502,1732,1996
24,female,12/9/1988,Asian,1401,1547,3720
25,male,24/5/1984,other,507,4462,850
26,female,3/1/1988,afam,2613,4595,3281
27,female,8/12/1984,other,1063,2204,2144
28,male,14/12/1996,other,590,2213,1859
29,male,5/4/1985,other,3153,1598,2207
30,female,8/3/1985,Asian,1771,2595,23
31,female,25/4/1995,Asian,3934,4019,1071
32,female,28/3/1991,other,2468,1517,1892
33,male,23/5/1999,Asian,1023,3138,400
34,male,14/1/1983,other,705,2721,3902
35,female,2/10/1999,other,4320,1059,4477
36,male,15/4/1993,other,373,1943,1009
37,female,20/2/1996,other,40,3185,1432
38,male,12/2/1985,Asian,2793,346,3204
39,male,16/10/1982,Asian,2890,3147,13
40,female,19/1/1989,other,1685,3424,2167
41,male,24/2/1998,Asian,4178,1781,3023
42,female,13/7/1991,other,2047,228,4390
43,female,27/3/1992,other,3022,1630,1882
44,female,25/8/2000,other,2275,3351,1279
45,female,19/5/1987,other,604,1659,431
46,female,1/3/1985,Asian,1493,33,3349
47,female,9/7/1998,afam,3669,3413,4422
48,female,8/10/1988,Asian,14,4237,1442
49,male,7/7/1990,hispanic,2722,1990,2448
50,female,16/10/1983,other,3309,2199,636
51,male,14/12/1986,hispanic,698,2971,3075
52,female,13/5/1980,Asian,1451,4433,1467
53,female,7/3/1981,other,767,3957,1066
54,male,20/9/1986,other,4042,2116,4081
55,female,12/6/1990,other,709,2158,4346
56,male,9/9/1986,afam,833,2302,3869
57,female,24/6/1981,other,3959,3115,4651
58,female,1/6/1987,Asian,2722,639,4147
59,female,13/5/1998,Asian,3941,1452,432
60,male,1/7/1995,other,1567,1089,3614
61,male,13/7/1993,Asian,1352,901,2767
62,male,10/4/1984,other,1355,3270,2226
63,male,8/11/1993,other,1256,3689,1964
64,male,17/12/1999,other,3813,2555,4088
65,female,5/4/1997,Asian,4294,4426,533
66,female,11/10/1993,Asian,2966,10,2287
67,female,23/1/1982,other,3229,3918,643
68,female,16/10/1985,Asian,362,3293,677
69,female,5/5/1997,other,1785,3461,3590
70,male,26/10/1991,other,2142,2669,1022
71,female,8/8/1994,other,751,4574,2026
72,female,22/9/1993,other,3614,1625,1644
73,female,24/3/1990,Asian,1965,2232,4074
74,male,18/2/1987,Asian,2018,4386,4467
75,male,27/3/1983,other,1162,4382,3583
76,female,19/10/1995,Asian,2352,4144,4010
77,male,20/10/1988,other,2850,4679,2004
78,female,14/4/1984,other,4714,1080,2541
79,female,12/9/2000,other,937,3653,3796
80,male,22/2/1996,other,1636,3370,1351
81,male,27/7/1994,Asian,3026,2441,4265
82,male,14/1/2000,Asian,3003,461,2606
83,male,3/12/1983,other,2035,1883,4274
84,female,18/10/1999,Asian,3552,308,2051
85,female,15/1/1987,other,225,2051,2323
86,female,1/2/1995,other,3181,3882,175
87,female,27/12/2000,other,1783,1228,1247
88,female,19/3/1992,other,2344,2804,2960
89,female,12/10/1981,Asian,530,3823,2554
90,female,5/5/1981,Asian,4202,244,2324
91,female,11/6/1981,other,1019,867,3970
92,female,21/11/1991,Asian,3234,2411,3432
93,female,25/3/1989,other,3837,3075,4181
94,male,15/10/1980,other,1599,2417,2662
95,female,6/1/1995,other,3731,505,4203
96,female,24/1/1981,other,18,778,3629
97,male,15/7/1980,Asian,2837,3258,686
98,male,20/6/1984,Asian,2604,4718,2947
99,female,13/1/1994,other,2985,3013,3342
100,female,5/10/1991,Asian,4168,3554,1414
101,female,4/8/1992,other,797,4204,277
102,male,24/12/1990,other,1375,4028,3856
103,male,15/11/1990,other,1130,1797,4234
104,female,25/1/1993,Asian,910,3976,4682
105,male,19/12/1996,Asian,3320,4312,4046
106,female,16/7/1991,other,2983,2041,4603
107,female,16/11/1999,Asian,2633,581,4095
108,female,6/9/2000,other,1887,3273,1014
109,female,12/9/1998,other,3578,992,3065
110,female,10/11/1989,other,4226,2253,3176
111,male,22/3/1984,afam,986,201,4628
112,male,24/4/1992,other,3743,3870,1145
113,female,26/1/1984,Asian,2928,2219,2528
114,female,1/2/1985,Asian,1913,1374,3400
115,female,9/2/1987,other,945,1511,3819
116,female,8/5/1994,Asian,2595,624,214
117,male,11/12/1980,hispanic,4046,3078,3788
118,female,5/3/1982,other,3078,2567,2790
119,male,4/10/1996,other,2868,3335,2717
120,female,27/6/1999,other,80,559,52
121,female,27/3/1987,other,3957,74,1157
122,male,28/7/1985,Asian,2653,291,3221
123,female,14/4/1999,Asian,1504,3962,3308
124,female,26/1/1990,afam,1564,3942,2661
125,female,18/12/1993,other,1065,426,626
126,female,21/2/1988,Asian,860,2223,3535
127,male,15/3/1983,other,172,1620,3569
128,male,10/1/1997,other,469,1160,965
129,male,28/7/1991,other,3549,3238,3253
130,female,8/2/1999,other,4275,2949,2758
131,male,5/2/1981,Asian,2446,272,4050
132,female,26/4/1985,Asian,1905,1771,2987
133,female,3/5/2000,other,490,3748,1724
134,male,21/8/1985,Asian,3495,4068,3823
135,female,23/3/1981,other,2559,145,3119
136,female,1/10/1995,other,3343,4186,1314
137,male,27/10/1998,other,2418,1756,1761
138,male,23/8/1994,other,4374,3584,2900
139,female,4/3/1995,Asian,1039,1464,3248
140,female,10/10/1982,Asian,3193,1740,854
141,male,17/9/1989,other,1256,3642,73
142,female,23/8/2000,Asian,988,3152,2202
143,male,21/2/1983,other,4700,4290,3145
144,male,4/4/1984,other,232,1449,272
145,female,11/12/1983,other,2828,3879,2393
146,male,17/9/1992,Asian,3748,2726,207
147,male,8/7/1988,Asian,604,3555,4387
148,male,28/5/1992,other,4295,3697,1426
149,male,1/1/1983,Asian,1417,2173,3728
150,female,15/1/1993,other,3763,4675,722
151,male,23/1/1986,other,3036,4178,3257
152,female,14/1/1998,other,3007,1833,4521
153,male,13/1/1994,other,4208,180,3885
154,female,23/11/1999,Asian,2630,1512,4472
155,male,13/3/1986,Asian,1216,2879,927
156,female,5/3/1982,other,4373,2027,3870
157,female,11/10/1985,Asian,2317,1708,2225
158,male,15/3/1980,other,3585,266,2667
159,male,6/6/1995,other,2280,4148,1543
160,female,20/8/1997,other,4253,1842,2540
161,male,20/7/1994,other,1243,4287,4024
162,male,16/10/1994,Asian,2928,1220,1101
163,male,11/9/1981,Asian,4189,3001,910
164,female,19/7/1997,other,1391,4301,4318
165,female,15/11/1996,Asian,4469,2843,2433
166,female,6/4/1992,afam,4444,1394,4155
167,female,24/11/1992,other,1990,2517,3493
168,male,10/5/1992,other,1027,4409,3161
169,female,14/4/1993,Asian,4662,4686,1781
170,female,15/11/1993,Asian,3684,3138,2919
171,male,22/8/1997,other,4674,4344,282
172,female,18/10/1997,Asian,2907,2446,3037
173,male,6/4/1995,other,4118,2878,2873
